Name,SKU,Price,_weight,Description,Featured,Categories,Image
XD9000 Self-Recovery Winch by Warn - 28500,WAR28500,1063.99,85,"<div>
 <h2>Part Number: WAR28500</h2>
 <ul>
 	<li>Rated Line Pull: = 9000 lbs.</li>
 	<li>Voltage: = 12V</li>
 	<li>Motor: = 4.6 HP</li>
 	<li>Remote Control: = Remote switch, 12 ft. lead</li>
 	<li>Gear Ratio: = 156.1</li>
 	<li>Size: = 21.8 in. x 6.3 in. x 7.6 in.</li>
 	<li>Weight: = 84.5 lbs.</li>
 	<li>Wire Rope = 100 ft. of 5/16</li>
 	<li>Fairlead = Roller</li>
 	<li>Type of Winch: = Electric</li>
 </ul>
 </div>
 As long-time favorites, you'll see more of these winches mounted on vehicles than any other. Quick no-load line speeds, durable and reliable 3-stage planetary geartrains, and low current draw for long duty cycles have made these durable units staples of the WARN lineup for years.
 
 The XD9000 has a compact shape and separate control pack for easy and versatile mounting - even in tight spaces.",No,Winches|Warn winches|Winches,http://precisionweldingoffroad:8888/wp-content/uploads/2013/03/526-warn-winch.jpg
XD9000i Self-Recovery Winch by Warn - 27550,WAR27550,1119.99,90,"<div>
 <h2>Part Number: WAR27550</h2>
 <ul>
 	<li>Rated Line Pull: = 9000 lbs.</li>
 	<li>Voltage: = 12V</li>
 	<li>Motor: = 4.6 HP</li>
 	<li>Remote Control: = Remote switch, 12 ft. lead</li>
 	<li>Gear Ratio: = 156.1</li>
 	<li>Size: = 21.8 in. x 6.3 in. x 9.94 in.</li>
 	<li>Weight: = 87.1 lbs.</li>
 	<li>Wire Rope = 125 ft. of 5/16</li>
 	<li>Fairlead = Roller</li>
 	<li>Type of Winch: = Electric</li>
 </ul>
 </div>
 As a long-time favorite, you'll see more of these winches mounted on vehicles than any other. Quick no-load line speeds, durable and reliable 3-stage planetary geartrains, and low current draw for long duty cycles have made these durable units staples of the WARN lineup for years.
 
 The XD9000i features an integrated control pack and an all-metal housing for additional protection to the electrical components.",No,Winches|Warn winches|Winches,http://precisionweldingoffroad:8888/wp-content/uploads/2013/03/524-winch-123.jpg
Warn M8000 Self Recovery Winch,WAR26502,539.99,80,"<div>
 <h2>Part Number: WAR26502</h2>
 <ul>
 	<li>Rated Line Pull: = 8000 lbs.</li>
 	<li>Voltage: = 12V</li>
 	<li>Motor: = 4.8 HP</li>
 	<li>Remote Control: = Remote switch, 12 ft. lead</li>
 	<li>Gear Ratio: = 216.1</li>
 	<li>Size: = 21.04 in. x 6.3 in. x 7.6 in.</li>
 	<li>Weight: = 80 lbs.</li>
 	<li>Wire Rope = 100 ft. of 5/16</li>
 	<li>Fairlead = Roller</li>
 	<li>Type of Winch: = Electric</li>
 </ul>
 </div>
 This compact, robust unit is not only powerful, but it's an outstanding value. The M8000 has a powerful 4.8 hp. Series-Wound motor, 3-stage planetary geartrain, and can pull up to 8,000 lbs. - perfect for most trucks and SUVs, including Jeeps.
 
 <strong>M8000 Specs/Part Numbers</strong>[*]Part Number: PN 26502 CE (12V DC) 100' wire rope and roller fairlead[*]Rated Line Pull: 8000 lbs. (3630 kgs.) single-line[*]Motor: 12V 4.8 hp Series WoundTM[*]Remote Control: Remote, 12' (3.7m) lead[*]Geartrain: 3-Stage Planetary[*]Gear Ratio: 216:1[*]Lubrication: Aeroshell #17[*]Clutch (freespooling): Sliding Ring Gear[*]Brake: Automatic Direct Drive Cone[*]Drum Diameter/Length: 2.5/9.0 (6.4cm/23cm)[*]Weight: 74 lbs. (34 kgs.)[*]Wire Rope: 100', 5/16 diam. (30m, 8mm diam.)[*]Fairlead for PN 26502: Roller[*]Recommended Battery: 650 CCA minimum for winching[*]Battery Leads: 2 gauge, 72 (1.83m)[*]Finish: Argent Gray Powder Coat[*]Nuts/Bolts: PN 39625",No,Winches|Warn winches|Winches,http://precisionweldingoffroad:8888/wp-content/uploads/2013/03/521-winch-by-warn.jpg
XD9000 Self-Recovery Winch by Warn - 265012,WAR265012,1235.99,85,"<div>
 <h2>Part Number: WAR265012</h2>
 <ul>
 	<li>Rated Line Pull: = 9000 lbs.</li>
 	<li>Motor: = 24V</li>
 	<li>Horse Power: = 2.1</li>
 	<li>Remote Control: = Remote switch, 12 ft. lead</li>
 	<li>Gear Ratio: = 156.1</li>
 	<li>Size: = 21.8 in. x 6.3 in. x 7.6 in.</li>
 	<li>Weight: = 84.5 lbs.</li>
 	<li>Wire Rope = 100 ft. of 5/16</li>
 	<li>Fairlead = Roller</li>
 	<li>Type of Winch: = Electric</li>
 </ul>
 </div>
 Reliable, proven designs for real-world conditions. As long-time favorites, you'll see more of these winches mounted on vehicles than any other. Quick no-load line speeds, durable and reliable 3-stage planetary geartrains, and low current draw for long duty cycles have made these durable units staples of the WARN lineup for years.
 
 The XD9000 has a compact shape and separate control pack for easy and versatile mounting - even in tight spaces.
 
 <strong>XD9000 Specs/Part Numbers</strong>[*]Part Numbers: PN 265012 CE (24V DC)[*]Rated Line Pull: 9000 lbs. (4080 kgs.) single-line[*]Motor: 24V 2.5 hp Series WoundTM[*]Remote Control: Remote, 12' (3.7m) lead[*]Geartrain: 3-Stage Planetary[*]Gear Ratio: 156:1[*]Lubrication: Aeroshell #17[*]Clutch (freespooling): Sliding Ring Gear[*]Brake: Automatic Direct Drive Cone[*]Drum Diameter/Length: 2.5/9.0 (6.4cm/23cm)[*]Weight: 78 lbs. (35 kgs.)[*]Wire Rope: 100', 5/16diameter (30m, 8mm diameter)[*]Fairlead: Roller[*]Recommended Battery: 650 CCA minimum for winching[*]Battery Leads: 2 gauge, 72 (1.83m)[*]Finish: Argent Powder Coat[*]Nuts/Bolts: PN 39625",No,Winches|Warn winches|Winches,http://precisionweldingoffroad:8888/wp-content/uploads/2013/03/519-winch-warn.jpg
M8000 Self-Recovery Winch with Hawse Fairlead by Warn - 20910,WAR20910,863.99,75,"<div>
 <h2>Part Number: WAR20910</h2>
 <ul>
 	<li>Rated Line Pull: = 8000 lbs.</li>
 	<li>Voltage: = 12V</li>
 	<li>Motor: = 4.8 HP</li>
 	<li>Remote Control: = Remote switch, 12 ft. lead</li>
 	<li>Gear Ratio: = 216.1</li>
 	<li>Size: = 21.04 in. x 6.3 in. x 7.6 in.</li>
 	<li>Weight: = 71 lbs.</li>
 	<li>Wire Rope = 80 ft. of 5/16</li>
 	<li>Fairlead = Hawse</li>
 	<li>Type of Winch: = Electric</li>
 </ul>
 </div>
 This compact, robust unit is not only powerful, but it's an outstanding value. The M8000 has a powerful 4.8 hp. Series-Wound motor, 3-stage planetary geartrain, and can pull up to 8,000 lbs. - perfect for most trucks and SUVs, including Jeeps.
 
 <strong>M8000 Specs/Part Numbers</strong>[*]Part Number: PN 20910 CE (12V DC) 80' wire rope and hawse fairlead[*]Rated Line Pull: 8000 lbs. (3630 kgs.) single-line[*]Motor: 12V 4.8 hp Series WoundTM[*]Remote Control: Remote, 12' (3.7m) lead[*]Geartrain: 3-Stage Planetary[*]Gear Ratio: 216:1[*]Lubrication: Aeroshell #17[*]Clutch (freespooling): Sliding Ring Gear[*]Brake: Automatic Direct Drive Cone[*]Drum Diameter/Length: 2.5/9.0 (6.4cm/23cm)[*]Weight: 74 lbs. (34 kgs.)[*]Wire Rope: 80', 5/16 diam. (24m, 8mm diam.)[*]Fairlead for PN 20910: Hawse[*]Recommended Battery: 650 CCA minimum for winching[*]Battery Leads: 2 gauge, 72 (1.83m)[*]Finish: Argent Gray Powder Coat[*]Nuts/Bolts: PN 39625",No,Winches|Warn winches|Winches,http://precisionweldingoffroad:8888/wp-content/uploads/2013/03/516-winch.jpg
Smittybilt XRC 12 Winch & Winch Cover Special - WINCHCOVER3,S/BWINCHCOVER3,524.98,95,"<div>
 <h2>Part Number: S/BWINCHCOVER3</h2>
 <ul>
 	<li>Purchase an XRC 12 Winch and receive a free XRC Winch Cover</li>
 	<li>XRC12 Winch</li>
 	<li>Line Pull: = 12,000 lbs.</li>
 	<li>Voltage: = 12V</li>
 	<li>Motor: = 6.6 hp</li>
 	<li>Remote Control: = 12 Ft. Lead</li>
 	<li>Gear Ratio: = 265:1</li>
 	<li>Size: = 21.15 in. x 6.3 in. x 8.6 in.</li>
 	<li>Weight: = 94 lbs.</li>
 	<li>Wire rope: = 94 Ft.</li>
 	<li>Fairlead = Roller</li>
 	<li>Type of Winch: = Electric</li>
 	<li>XRC Winch Cover</li>
 	<li>Made to fit your any XRC winch</li>
 	<li>Stitched from sturdy canvas material</li>
 	<li>Ties onto your winch to keep the elements out</li>
 </ul>
 </div>
 The new Smittybilt XRC 12 is a 12,000 lb thoroughbred that has the looks and performance to handle any situation you get into. It is really the total package! We start off with one of the largest motors in its class- 6.6 State-of-the-Art Series Wound Motor and equip it with 3-stage planetary gear system with a 265:1 gear ration that delivers lightning fast line speed. The XRC 12 is the next generation in winching technology!
 
 XRC winches are a great investment, so protect them when not in use with Smittybilt XRC winch covers. Made to fit your any of your XRC winches, these covers are stitched from sturdy canvas material and tie onto your winch to keep the elements out. Shelter your XRC winch from the weather and conceal it when not off-road with Smittybilt XRC winch covers",No,Winches|Smittybilt winches|Winches,http://precisionweldingoffroad:8888/wp-content/uploads/2013/03/457-winch.jpg
Smittybilt X2O Winch - 97315,S/B97315,699.99,132,"<div>
 <h2>Part Number: S/B97315</h2>
 <ul>
 	<li>X2O 15 Winch</li>
 	<li>Rated Line Pull: = 15000lbs</li>
 	<li>Voltage: = 12v</li>
 	<li>Motor: = 6.6hp Series Wound</li>
 	<li>Remote Control: = Remote Switch, 12ft. lead</li>
 	<li>Gear Ratio: = 397:1</li>
 	<li>Size: = 21.15in. x 6.3in. x 8.6in.</li>
 	<li>Weight: = 132 lbs.</li>
 	<li>Wire Rope = 984ft. Of 1/2in.</li>
 	<li>Fairlead = Roller</li>
 	<li>Type of Winch: = Electric</li>
 </ul>
 </div>
 These New winches from Smittybilt have all the great features of our XRC winches but are completely water proof and feature all stainless steel hardware.",No,Axles,http://precisionweldingoffroad:8888/wp-content/uploads/2013/03/452-winch.jpg
XRC12 Winch by Smittybilt - 97212,S/B97212,499.99,110,"<div>
 <h2>Part Number: S/B97212</h2>
 <ul>
 	<li>Rated Line Pull: 12000LBS</li>
 	<li>Winch Motor: 6.6 hp</li>
 	<li>Control: Remote Switch, 12ft/3.6m lead</li>
 	<li>Gear train: 3-Stage Planetary</li>
 	<li>Gear Reduction Ratio: 265:1</li>
 	<li>Clutch: Sliding Ring Gear</li>
 	<li>Braking Action:Automatic in-the-drum</li>
 	<li>Drum Size: 2.52""</li>
 	<li>(64mm)</li>
 	<li>L 8.82""</li>
 	<li>(224mm)</li>
 </ul>
 </div>
 The new Smittybilt XRC 12 is a 12,000 lb thoroughbred that has the looks and performance to handle any situation you get into. It is really the total package! We start off with one of the largest motors in its class - 4.8 State-of-the-Art Series Wound Motor and equip it with 3-stage planetary gear system with a 295.75:1 gear ratio that delivers lightning fast line speed. The XRC 12 is the next generation in winching technology!",No,Winches|Smittybilt winches|Winches,http://precisionweldingoffroad:8888/wp-content/uploads/2013/03/442-winch.jpg
X2O 12 Winch by Smittybilt - 97312,S/B97312,599.99,0,"<div>
 <h2>Part Number: S/B97312</h2>
 <ul>
 	<li>Rated Line Pull: 12,000 Lbs (5443.1kgs) single line</li>
 	<li>Motor:6.6hp Series Wound</li>
 	<li>Control: Remote Switch</li>
 	<li>Gear Train: 3-Stage Planetary</li>
 	<li>Gear Ratio: 265:1</li>
 	<li>Brake: Automatic In-The-Drum</li>
 	<li>Drum Size: Diameter 2.5"" (63.5 mm) Length 8.82"" (224 mm)</li>
 	<li>Wire Rope: 3/8"" x 98'</li>
 </ul>
 </div>
 The all new Smittybilt X2O 12 12,000 lb winch is the powerhouse of winches and has the performance to back it up as the best winch to buy in the category. It features our series wound amphibious technology which completely seals the 6.6 series wound motor as well as the three stage planetary gear system. It has an oversized, completely waterproof, state of the art 500-AMP solenoid that has the versatility to be mounted over the winch motor or winch cable. The control handle and hardware are manufactured out of marine grade 304 stainless steel. Heavy duty rubberized remote control with a front end magnet makes locating and controlling the hand held easier than ever. The new X2O 12 performance is as good as it gets, it has 265:1 gear ratio that delivers lightning fast speed and with our lifetime warranty you count on the X2O to be there every-time in every-situation.",No,Winches|Smittybilt winches|Winches,http://precisionweldingoffroad:8888/wp-content/uploads/2013/03/448-winch.jpg
XRC 15 Winch by Smittybilt - 97215,S/B97215,749.99,0,"<div>
 <h2>Part Number: S/B97215</h2>
 <ul>
 	<li>Rated Line Pull: 15,000 Lbs (6803kgs) single line</li>
 	<li>Motor:6.6hp Series Wound</li>
 	<li>Control: Remote Switch</li>
 	<li>Gear Train: 3-Stage Planetary</li>
 	<li>Gear Ratio: 397:1</li>
 	<li>Brake: Automatic In-The-Drum</li>
 	<li>Drum Size: Diameter 3.62"" (96 mm) Length 8.82"" (224 mm)</li>
 	<li>Wire Rope: 61/2"" x 98.42'</li>
 </ul>
 </div>
 The all new XRC 15 is a 15,000 lb powerhouse that has the looks and performance to handle any situation you get into. We start off with one of the largest motors in its class - 6.6 state-of-the-art series wound motor and equip it with a 4-stage planetary gear system with a 397:1 gear ratio that delivers lightning fast line speed and unsurpassed pulling power. Every winch is finished in a high-gloss black powder coat and comes with stainless steel hardware and aluminum cross bars to provide you with a great looking system that will last you a lifetime. Every system includes a solenoid box, four way roller fairlead and hook. The XRC 15 is the next generation in winching technology.",No,Winches|Smittybilt winches|Winches,http://precisionweldingoffroad:8888/wp-content/uploads/2013/03/445-winch.jpg
M8274-50 Self-Recovery Winch by Warn - 38631,WAR38631,1965.99,110,"<div>
 <h2>Part Number: WAR38631</h2>
 <ul>
 	<li>Rated Line Pull: = 8000 lbs.</li>
 	<li>Voltage: = 12V</li>
 	<li>Motor: = 4.6 HP</li>
 	<li>Remote Control: = Remote switch, 12 ft. lead</li>
 	<li>Gear Ratio: = 134.1</li>
 	<li>Size: = 16.5 in. x 8.5 in. x 15 in.</li>
 	<li>Weight: = 110 lbs.</li>
 	<li>Wire Rope = 150 ft. of 5/16</li>
 	<li>Fairlead = Roller</li>
 	<li>Type of Winch: = Electric</li>
 </ul>
 The veteran WARN winch still has the fastest no-load line speed (73.4 feet per minute) and the longest rope in the WARN self-recovery lineup (150' of 5/16 wire rope). Because of these impressive stats, the M8274-50 is the preferred winch for off-road challenge events. Its unique spurgear drivetrain and upright design has proven to be reliable, and its braking system delivers smooth operation with excellent heat dissipation. Roller fairlead, remote with 12' lead, free-spool clutch, and battery cables are included.
 
 <strong>M8274-50 Specs/Part Numbers</strong>[*]Part Numbers: PN 38631 CE (12V DC)[*]Rated Line Pull: 8000 lbs. (3630 kgs.) single-line[*]Motor: 12V 4.6 hp/3.43kw Series WoundTM[*]Remote Control: Remote, 12' (3.7m) lead[*]Geartrain: Spur Gear[*]Gear Ratio: 134:1[*]Lubrication: 6 oz. SAE 30 (non-detergent)[*]Clutch (freespooling): Sliding Motor Pinion Gear[*]Brake: Automatic, disc type[*]Drum Diameter/Length: 3.5/8.5 (9cm/22cm)[*]Weight: 110 lbs. (50 kgs.)[*]Wire Rope: 150', 5/16 diameter (46m, 8mm diam.)[*]Fairlead: Roller[*]Recommended Battery: 650 CCA for winching[*]Battery Leads: 2 gauge, 72 (1.83m)[*]Finish: Argent Gray Powder Coat with Clear Coat[*]Nuts: PN 7616, L/W: PN 2146[*]Bolts: PN 7165
 
 </div>",No,Winches|Warn winches|Winches,http://precisionweldingoffroad:8888/wp-content/uploads/2013/03/warn-8274.jpg|http://precisionweldingoffroad:8888/wp-content/uploads/2013/03/9.5-warn1.jpg
Smittybilt XRC 10 Comp Series Winch & Winch Cover Special - WNCHCVR2C,S/BWNCHCVR2C,574.98,95,"<div>
 <h2>Part Number: S/BWNCHCVR2C</h2>
 <ul>
 	<li>Purchase an XRC 10 Comp Winch and receive a free XRC Winch Cover</li>
 	<li>XRC10 Comp Series Winch</li>
 	<li>Line Pull: = 10,000 lbs.</li>
 	<li>Voltage: = 12V</li>
 	<li>Motor: = 5.5 hp</li>
 	<li>Remote Control: = 12 Ft. Lead</li>
 	<li>Gear Ratio: = 218:1</li>
 	<li>Size: = 21.15 in. x 6.3 in. x 8.6 in.</li>
 	<li>Weight: = 94 lbs.</li>
 	<li>Synthetic rope: = 94' of 21/64""</li>
 	<li>Fairlead = Aluminum Hawse</li>
 	<li>Type of Winch: = Electric</li>
 	<li>XRC Winch Cover</li>
 	<li>Made to fit your any XRC winch</li>
 	<li>Stitched from sturdy canvas material</li>
 	<li>Ties onto your winch to keep the elements out</li>
 </ul>
 </div>
 The new Smittybilt Comp-Series XRC-10 Winch encompasses all the best features you would want in a winch. Every XRC-10 (10,000 LB.) winch features a 5.5 HP Series Wound Motor and a Planetary Gear System with 218:1 gear ratio that will deliver power and reliability at a premium price. For a recovery system with the muscle and dependability to bail you out of any situation, the XRC-10 Comp. Series Winch has all the heavy duty toughness you're looking for.
 
 XRC winches are a great investment, so protect them when not in use with Smittybilt XRC winch covers. Made to fit your any of your XRC winches, these covers are stitched from sturdy canvas material and tie onto your winch to keep the elements out. Shelter your XRC winch from the weather and conceal it when not off-road with Smittybilt XRC winch covers.",No,Winches|Smittybilt winches|Winches,http://precisionweldingoffroad:8888/wp-content/uploads/2013/03/437-winch13.jpg
Smittybilt XRC 10 Winch & Winch Cover Special - WNCHCVR2,S/BWNCHCVR2,424.98,95,"<div>
 <h2>Part Number: S/BWNCHCVR2</h2>
 <ul>
 	<li>Purchase an XRC 10 Winch and receive a free XRC Winch Cover</li>
 	<li>XRC10 Winch</li>
 	<li>Line Pull: = 10,000 lbs.</li>
 	<li>Voltage: = 12V</li>
 	<li>Motor: = 5.5 hp</li>
 	<li>Remote Control: = 12 Ft. Lead</li>
 	<li>Gear Ratio: = 218:1</li>
 	<li>Size: = 21.15 in. x 6.3 in. x 8.6 in.</li>
 	<li>Weight: = 94 lbs.</li>
 	<li>Wire rope: = 94 Ft. of 23/64""</li>
 	<li>Fairlead = Roller</li>
 	<li>Type of Winch: = Electric</li>
 	<li>XRC Winch Cover</li>
 	<li>Made to fit your any XRC winch</li>
 	<li>Stitched from sturdy canvas material</li>
 	<li>Ties onto your winch to keep the elements out</li>
 </ul>
 </div>
 The all new 10,000 lb. winch has a state of the art 5.5HP Series Wound Motor that offers unmatched durability and overheat recovery and a 3 Stage planetary gear system with a 218:1 gear ratio to deliver you the power to get you out of any situation. Comes with a automatic load-holding brake, power in and out and a roller fairlead. A 12 ft. illuminated handheld remote control. Comes with a 23/64 x 94 galvanized aircraft cable with replaceable hook. Mounting bolt pattern"""" 10 x 4.5, OAL 21.15 x 6.3 x 8.6
 
 XRC winches are a great investment, so protect them when not in use with Smittybilt XRC winch covers. Made to fit your any of your XRC winches, these covers are stitched from sturdy canvas material and tie onto your winch to keep the elements out. Shelter your XRC winch from the weather and conceal it when not off-road with Smittybilt XRC winch covers.",No,Winches|Smittybilt winches|Winches,http://precisionweldingoffroad:8888/wp-content/uploads/2013/03/434-winch.jpg
Warn 9.5cti Self-Recovery Winch - 97550,WAR97550,1219.99,90,"<div>
 <h2>Part Number: WAR97550</h2>
 <ul>
 	<li>Rated Line Pull: = 9,500 lbs.</li>
 	<li>Motor: = 12V DC, Series Wound</li>
 	<li>Electrical Controls: = Contactor</li>
 	<li>Remote Control: = Remote switch, LED indicator, 12? lead</li>
 	<li>Geartrain: = 3-Stage Planetary</li>
 	<li>Gear Ratio: = 156:1</li>
 	<li>Clutch (freespooling): = Sliding Ring Gear</li>
 	<li>Brake: = Automatic Direct Drive Cone</li>
 	<li>Drum Diameter/Length: = 2.5""/9.0""</li>
 	<li>Mounting Bolt Pattern: = 10.0"" x 4.5""</li>
 	<li>Winch Dimensions: = 23.1? L. x 6.3? D. x 10.4? H.</li>
 	<li>Weight: = 89 lbs.</li>
 	<li>Wire Rope: = 125' of 5/16"" diameter</li>
 	<li>Fairlead: = Roller</li>
 </ul>
 The WARN 9.5cti is an ideal mix of tough and tech. It has a 9,500 lb. (4310 kg) single-line pulling capacity with fast line speeds and all-new contactor for optimum winch control and performance. This ultra-durable, ultra-reliable contactor?complete with cadmium-plated copper contacts?extends heat resistance and provides an outstanding duty cycle. It also has new levels of weather sealing and longevity, adding to the winch?s ?Ultimate Performance? qualities. The 9.5cti also features a motor-mounted thermometric sensor that provides motor temperature feedback via an indicator lamp located on the winch remote. Speaking of remote, the 9.5cti has a redesigned pistol-grip remote with increased ergonomics, durability, and sealing. Other key features of the 9.5cti include extreme-duty sealing to keep the elements out; a stout, cast aluminum-alloy housing; and a massive integrated control box to protect the electronics from damage. The winch is finished in a durable, chip-resistant high-gloss black powder-coated finish, and includes 125? (38m) of 5/16? (8mm) diameter wire rope, hook, and roller fairlead. Ideal for a variety of trucks and SUVs, the WARN 9.5cti will provide reliable off-road support for users looking for an Ultimate Performance winch with a 9,500 lb. capacity for their truck or SUV.
 
 </div>",No,Winches|Warn winches|Winches,http://precisionweldingoffroad:8888/wp-content/uploads/2013/03/9.5-warn.jpg
Smittybilt XRC 8 Comp Series Winch & Winch Cover Special - WNCHCVR1C,S/BWNCHCVR1C,474.98,95,"<div>
 <h2>Part Number: S/BWNCHCVR1C</h2>
 <ul>
 	<li>Purchase an XRC 8 Comp Series Winch and receive a free XRC Winch Cover</li>
 	<li>XRC8 Comp Series Winch</li>
 	<li>Line Pull: = 8000 lbs.</li>
 	<li>Voltage: = 12V</li>
 	<li>Motor: = 5.5 hp</li>
 	<li>Remote Control: = 12 Ft. Lead</li>
 	<li>Gear Ratio: = 172.8:1</li>
 	<li>Size: = 21 in. x 6.22 in. x 7.28 in.</li>
 	<li>Weight: = 94 lbs.</li>
 	<li>Synthetic rope: = 94' of 21/64""</li>
 	<li>Fairlead = Aluminum Hawse</li>
 	<li>Type of Winch: = Electric</li>
 	<li>XRC Winch Cover</li>
 	<li>Made to fit your any XRC winch</li>
 	<li>Stitched from sturdy canvas material</li>
 	<li>Ties onto your winch to keep the elements out</li>
 </ul>
 </div>
 The new Smittybilt XRC 8 Winch W/Synthetic Rope &amp; Aluminum Fairlead is a 8,000 lb winch encompasses all the best features you want in a winch. We have added a 100ft of the XRC Synthetic Rope, 8,000 lb. Rated, 1/7th The Weight of Steel Cable. No Kinks, Curls or Wire Splinters to Deal With, Plus a Comp Series Aluminun Fairlead (Hause).
 
 XRC winches are a great investment, so protect them when not in use with Smittybilt XRC winch covers. Made to fit your any of your XRC winches, these covers are stitched from sturdy canvas material and tie onto your winch to keep the elements out. Shelter your XRC winch from the weather and conceal it when not off-road with Smittybilt XRC winch covers.",No,Winches|Smittybilt winches|Winches,http://precisionweldingoffroad:8888/wp-content/uploads/2013/03/432-winch10.jpg
Smittybilt XRC 8 Winch & Winch Cover Special - WNCHCVR1,S/BWNCHCVR1,324.98,95,"<div>
 <h2>Part Number: S/BWNCHCVR1</h2>
 <ul>
 	<li>Purchase an XRC 8 Winch and receive a free XRC Winch Cover</li>
 	<li>XRC8 Winch</li>
 	<li>Line Pull: = 8000 lbs.</li>
 	<li>Voltage: = 12V</li>
 	<li>Motor: = 5.5 hp</li>
 	<li>Remote Control: = 12 Ft. Lead</li>
 	<li>Gear Ratio: = 172.8:1</li>
 	<li>Size: = 21 in. x 6.22 in. x 7.28 in.</li>
 	<li>Weight: = 94 lbs.</li>
 	<li>Wire rope: = 92 Ft. of 5/16""</li>
 	<li>Fairlead = Roller</li>
 	<li>Type of Winch: = Electric</li>
 	<li>XRC Winch Cover</li>
 	<li>Made to fit your any XRC winch</li>
 	<li>Stitched from sturdy canvas material</li>
 	<li>Ties onto your winch to keep the elements out</li>
 </ul>
 </div>
 The new Smittybilt XRC-8 Winch encompasses all the best features you would want in a winch. Every XRC-8 (8,000 LB.) winch features a 5.5HP Series Wound Motor and a Planetary Gear System with 172.8:1 gear ratio that will deliver power and reliability at a premium price. For a recovery system with the muscle and dependability to bail you out of any situation, the XRC-8 has all the heavy duty toughness youre looking for.
 
 XRC winches are a great investment, so protect them when not in use with Smittybilt XRC winch covers. Made to fit your any of your XRC winches, these covers are stitched from sturdy canvas material and tie onto your winch to keep the elements out. Shelter your XRC winch from the weather and conceal it when not off-road with Smittybilt XRC winch covers.",No,Winches|Smittybilt winches|Winches,http://precisionweldingoffroad:8888/wp-content/uploads/2013/03/429-winch9.jpg
X2O 8 Comp Series Winch by Smittybilt - 98380,S/B98380,549.99,89,"<div>
 <h2>Part Number: S/B98380</h2>
 <ul>
 	<li>Rated Line Pull: 8000Lbs (3630kgs) single-line</li>
 	<li>Gear Train: 3-Stage Planetary</li>
 	<li>Clutch: Rotating Ring Gear</li>
 	<li>Drum Size: Diameter 2.5 (63.5mm) Length 8.75 (222mm)</li>
 	<li>Battery Leads: 25mm</li>
 	<li>Mounting bolt pattern: 10 x 4.50</li>
 	<li>Motor: 5.5hp Series Wound</li>
 	<li>Control: Remote Switch, 12' (3.7m) lead</li>
 	<li>Gear Ratio: 180:1</li>
 	<li>Brake: Automatic In-The-Drum</li>
 	<li>Synthetic Rope:98.5' of 5/16""</li>
 	<li>Finish: Black</li>
 	<li>Weight:88 lbs</li>
 </ul>
 </div>
 The all new Smittybilt X2O 8 8,000 lb winch was developed for the hard core off roader that demands only the best. The X2O winch features our series wound amphibious technology which completely seals the 5.5 series wound motor as well as the three stage planetary gear system. It has an oversized, completely waterproof, state of the art 500-AMP solenoid that has the versatility to be mounted over the winch motor or winch cable. The control handle and hardware are manufactured out of marine grade stainless steel which will give a lifetime of service. Heavy duty rubberized remote control with a front end magnet which makes locating and controlling the hand held remote easier than ever. The new X2O 8 performance is as good as it gets.",No,Winches|Smittybilt winches|Winches,http://precisionweldingoffroad:8888/wp-content/uploads/2013/03/426-winch8.jpg
VR10000 Winch by Warn - 86255,WAR86255,579.99,90,"<div>
 <h2>Part Number: WAR86255</h2>
 <ul>
 	<li>Rated Line Pull: = 10000 lbs.</li>
 	<li>Voltage: = 12V DC Series Wound</li>
 	<li>Remote Control: = Remote switch, 12 ft. lead</li>
 	<li>Gear Ratio: = 216.1</li>
 	<li>Size: = 20.80 in. x 6.3 in. x 6.97 in</li>
 	<li>Weight: = 89 lbs.</li>
 	<li>Wire Rope = 94 ft. of 3/8</li>
 	<li>Fairlead = Roller</li>
 	<li>Type of Winch: = Electric</li>
 </ul>
 </div>
 For those looking for more pulling power without having to break the bank, there's the WARN VR10000. With a 10,000 lb. capacity, this winch is ideal for heavier trucks, SUVs, and Jeeps. Big power, big torque, not-so big price. Legendary WARN reliability and performance; 10,000 lb. (4536 kg) capacity Low-profile design will fit most trucks and SUVs Separate control pack for various mounting options Exclusive brake design for superior winching control Durable, smooth, and reliable three-stage planetary geartrain Series-wound motor for plenty of power and fast line speed Remote control with 12' (3.7m) lead 94' of 3/8"" (28.6m of 9.5mm) diameter wire rope Backed by the full WARN Limited Lifetime Warranty",No,Winches|Warn winches|Winches,http://precisionweldingoffroad:8888/wp-content/uploads/2013/03/warn-8k1.jpg
